strain	strain_name	segment	date	host	country	ORF2_type
DQ366347	Hu/OsakaNI/2004/JP	NA	2004-XX-XX	Human	Japan	GII.2
AY134748	UNKNOWN_AY134748	NA	NA	Human	NA	GII.2
AB084071	GIFU'99	NA	NA	Human	Japan	GII.6
AB083780	YURI	NA	NA	Human	Japan	GII.22
FJ515294	Hu/GI.2/Leuven/2003/BEL	NA	2003-XX-XX	Human	Belgium	GI.2
HQ664990	Hu/GII.12/HS206/2010/USA	NA	2010-XX-XX	Human	USA	GII.12
GQ845370	Hu/GII.e_GII.12/StGeorge/NSW199U/2008/AU	NA	2008-XX-XX	Human	Australia	GII.12
GQ845366	Hu/GII.4/NSW3639/2008/AU	NA	2008-XX-XX	Human	Australia	GII.4
GU991355	Hu/Shanghai/SH312/2009/CHN	NA	2009-01-XX	Human	China	GII.3
GU991354	Hu/Shanghai/SH5/2009/CHN	NA	2009-01-XX	Human	China	GII.4
JQ388274	Hu/GI.6/Kingston/ACT160D/2010/AU	NA	2010-XX-XX	Human	Australia	GI.6
JX445159	Hu/GII.4/AlbertaEI009/2008/CA	NA	2008-01-XX	Human	Canada	GII.4
JX445161	Hu/GII.4/AlbertaEI210/2008/CA	NA	2008-04-XX	Human	Canada	GII.4
JX445165	Hu/GII.4/AlbertaEI119/2010/CA	NA	2010-05-XX	Human	Canada	GII.4
JX445152	Hu/GII.4/AlbertaEI131/2004/CA	NA	2004-07-XX	Human	Canada	GII.4
JX445160	Hu/GII.4/AlbertaEI102/2008/CA	NA	2008-02-XX	Human	Canada	GII.4
JX445155	Hu/GII.4/AlbertaEI438/2006/CA	NA	2006-11-XX	Human	Canada	GII.4
JX445167	Hu/GII.4/AlbertaEI065/2011/CA	NA	2011-01-XX	Human	Canada	GII.4
JX445154	Hu/GII.4/AlbertaEI190/2006/CA	NA	2006-05-XX	Human	Canada	GII.4
JX445166	Hu/GII.4/AlbertaEI204/2010/CA	NA	2010-09-XX	Human	Canada	GII.4
JX445158	Hu/GII.4/AlbertaEI603/2006/CA	NA	2006-12-XX	Human	Canada	GII.4
JX445169	Hu/GII.4/AlbertaEI003/2012/CA	NA	2012-01-XX	Human	Canada	GII.4
JX445164	Hu/GII.4/AlbertaEI045/2010/CA	NA	2010-02-XX	Human	Canada	GII.4
JX445168	Hu/GII.4/AlbertaEI388/2011/CA	NA	2011-11-XX	Human	Canada	GII.4
JX445156	Hu/GII.4/AlbertaEI498/2006/CA	NA	2006-12-XX	Human	Canada	GII.4
JX445153	Hu/GII.4/AlbertaEI142/2006/CA	NA	2006-03-XX	Human	Canada	GII.4
JX445162	Hu/GII.4/AlbertaEI425/2008/CA	NA	2008-11-XX	Human	Canada	GII.4
JX445163	Hu/GII.4/AlbertaEI109/2009/CA	NA	2009-02-XX	Human	Canada	
JQ911594	Hu/GI/10360/2010/VNM	NA	2010-03-14	Human	Vietnam	GI.3
JX445157	Hu/GII.4/AlbertaEI513/2006/CA	NA	2006-12-XX	Human	Canada	GII.4
JX023285	Hu/GI.1/8FIIa/1968/USA	NA	1968-01-01	Human	USA	GI.1
JX289821	Hu/GII.4/MD120_12/1987/USA	NA	1987-01-12	Human	USA	GII.4
GU017903	Hu/GII.14/8553/Maizuru/2008/JPN	NA	2008-XX-XX	Human	Japan	GII.14
GU594162	Hu/GII.14/8610/Saga/2008/JPN	NA	2008-XX-XX	Human	Japan	GII.14
KC175403	Hu/Norwalk/20118/2009/VNM	NA	2009-08-28	Human	Vietnam	GII.4
KC409268	Hu/GII/20185/2009/VNM	NA	2009-10-04	Human	Vietnam	GII.4
KC409276	Hu/GII/20205/2009/VNM	NA	2009-10-13	Human	Vietnam	GII.4
KC409271	Hu/GII/20190/2009/VNM	NA	2009-10-06	Human	Vietnam	GII.4
KC175409	Hu/Norwalk/20140/2009/VNM	NA	2009-09-08	Human	Vietnam	GII.4
KC662537	Hu/GII/Hy_718/KOR	NA	NA	Human	South_Korea	GII.13
KC960615	Hu/GII.4/20199/2009/VNM	NA	2009-10-12	Human	Vietnam	GII.4
JX459905	Hu/GII.4/Randwick/NSW938K/2011/AU	NA	2011-08-XX	Human	Australia	GII.4
KC631827	Hu/GII.4/Hong_Kong/CUHK6080/2012/CHN	NA	2012-12-10	Human	Hong_Kong	GII.4
KC463910	684	NA	2012-XX-XX	Human	USA	GII.4
KC810030	D	NA	2010-08-24	Human	United_Kingdom	GII.4
JX439815	Hu/GII/Seoul1055/KOR/2010	NA	2010-04-27	Human	South_Korea	GII.4
KC810022	B	NA	2010-07-19	Human	United_Kingdom	GII.4
JX439816	Hu/GII/Seoul1072/KOR/2010	NA	2010-05-13	Human	South_Korea	GII.4
KC810029	C	NA	2010-08-27	Human	United_Kingdom	GII.4
KC810032	E	NA	2010-06-23	Human	United_Kingdom	GII.4
JX439819	Hu/GII/Seoul1488/KOR/2011	NA	2011-01-28	Human	South_Korea	GII.4
KC810031	E	NA	2010-07-23	Human	United_Kingdom	GII.4
KC810025	B	NA	2010-07-27	Human	United_Kingdom	GII.4
KC810020	B	NA	2010-06-24	Human	United_Kingdom	GII.4
KC810028	A	NA	2010-07-12	Human	United_Kingdom	GII.4
KC810027	A	NA	2010-07-04	Human	United_Kingdom	GII.4
JX439818	Hu/GII/Seoul1367/KOR/2010	NA	2010-11-24	Human	South_Korea	GII.4
KC810021	B	NA	2010-07-04	Human	United_Kingdom	GII.4
KC810026	A	NA	2010-06-28	Human	United_Kingdom	GII.4
JX439817	Hu/GII/Seoul1282/KOR/2010	NA	2010-08-30	Human	South_Korea	GII.4
KC894942	Hu/Guangzhou/GZ2010_L88/CHN/2011	NA	2011-01-07	Human	China	GII.4
KC810024	B	NA	2010-08-23	Human	United_Kingdom	GII.4
KC810023	B	NA	2010-07-23	Human	United_Kingdom	GII.4
KC894943	Hu/Guangzhou/GZ2010_L91/CHN/2011	NA	2011-01-14	Human	China	GII.4
KC631814	Hu/GII.4/MI001/2011/USA	NA	2011-XX-XX	Human	USA	GII.4
KC631815	Hu/GII.4/MI002/2011/USA	NA	2006-XX-XX	Human	USA	GII.4
KF429770	Hu/GI.1/8McIII/1973/USA	NA	1973-12-14	Human	USA	GI.1
KF429774	Hu/GI.1/8UIIIf/1973/USA	NA	1973-09-14	Human	USA	GI.1
KF429773	Hu/GI.1/8CKIIIc/1974/USA	NA	1974-02-13	Human	USA	GI.1
KF429769	Hu/GII.2/SnowMountRS/1975/USA	NA	1975-02-27	Human	USA	GII.2
KF429783	Hu/GI.1/8K/1979/USA	NA	1979-04-21	Human	USA	GI.1
JX448566	Hu/GII.4/Seoul/1071/2010/KOR	NA	2010-05-13	Human	South_Korea	GII.4
KF429789	Hu/GI.1/8MC/1978/USA	NA	1978-12-01	Human	USA	GI.1
KF429761	Hu/GI.1/8MoIIIL/1972/USA	NA	1972-06-21	Human	USA	GI.1
KF429792	Hu/GII.4/NIHIC1.6/2012/USA	NA	2012-01-14	Human	USA	GII.4
KF039726	Hu/GI.1/CHA6A003_20091031/2009/USA	NA	2009-10-31	Human	USA	GI.1
KF039730	Hu/GI.1/CHA9A004_20110419/2011/USA	NA	2011-04-19	Human	USA	GI.1
KF712503	Hu/GII.4/NIHIC28.3/2012/USA	NA	2012-07-02	Human	USA	GII.4
KF712496	Hu/GII.4/NIHIC2.3/2010/USA	NA	2010-06-24	Human	USA	GII.4
KF712510	Hu/GII.4/NIHIC2.2/2010/USA	NA	2010-06-23	Human	USA	GII.4
KF712506	Hu/GII.4/NIHIC1.12/2012/USA	NA	2012-10-16	Human	USA	GII.4
KF429787	Hu/GII.4/NIHIC28.5/2012/USA	NA	2012-08-10	Human	USA	GII.4
KC576912	Hu/GII.4/NIHIC4.1/2011/USA	NA	2011-01-31	Human	USA	GII.4
KF712495	Hu/GII.4/NIHIC17.3/2012/USA	NA	2012-07-19	Human	USA	GII.4
KF712509	Hu/GII.6/NIHIC34.1/2013/USA	NA	2013-02-04	Human	USA	GII.6
KC597138	Hu/GII.2/CHDC2596/1975/USA	NA	1975-01-17	Human	USA	GII.2
KF039729	Hu/GI.1/CHA6A007/2010/USA	NA	2010-04-18	Human	USA	GI.1
KF712507	Hu/GII.4/NIHIC1.11/2012/USA	NA	2012-10-15	Human	USA	GII.4
KF712502	Hu/GII.4/NIHIC35/2013/USA	NA	2013-02-04	Human	USA	GII.4
KF712492	Hu/GII.4/NIHIC1.8/2012/USA	NA	2012-07-31	Human	USA	GII.4
KF712504	Hu/GII.4/NIHIC11.3/2013/USA	NA	2013-01-08	Human	USA	GII.4
KF039727	Hu/GI.1/CHA6A003_20091028/2009/USA	NA	2009-10-28	Human	USA	GI.1
KF039731	Hu/GI.1/CH4XO533/2009/USA	NA	2009-10-13	Human	USA	GI.1
KF429767	Hu/GII.4/NIHIC28.2/2012/USA	NA	2012-06-22	Human	USA	GI.1
KF429768	Hu/GII.4/NIHIC1.13/2012/USA	NA	2012-10-20	Human	USA	GII.4
KC409317	Hu/GI/30257/2009/VNM	NA	2009-10-30	Human	Vietnam	GII.4
KF039736	Hu/GI.1/CHA7A011/2010/USA	NA	2010-09-27	Human	USA	GI.1
KF586507	CAIQ12110628	NA	2012-11-06	Human	China	GI.9
KF712494	Hu/GII.4/NIHIC1.7/2012/USA	NA	2012-04-27	Human	USA	GII.4
KF429782	Hu/GII.4/NIHIC1.3/2010/USA	NA	2010-09-28	Human	USA	GII.4
KF429785	Hu/GII.4/NIHIC17.2/2012/USA	NA	2012-07-16	Human	USA	GII.4
KF429791	Hu/GII.4/NIHIC1.5/2011/USA	NA	2011-12-20	Human	USA	GII.4
KF429763	Hu/GII.4/NIHIC11.1/2011/USA	NA	2011-11-22	Human	USA	GII.4
KF429777	Hu/GII.4/NIHIC27.1/2012/USA	NA	2012-03-19	Human	USA	GII.4
KF039725	Hu/GI.1/CHA7A009/2010/USA	NA	2010-09-26	Human	USA	GI.1
KF039732	Hu/GI.1/CHA5A010/2009/USA	NA	2009-10-25	Human	USA	GI.1
KF429760	Hu/GII.4/NIHIC28.4/2012/USA	NA	2012-07-14	Human	USA	GII.4
KF429771	Hu/GII.4/NIHIC22/2012/USA	NA	2012-02-28	Human	USA	GII.4
JX846925	Hu/GII.2/KL109/1978/MYS	NA	1978-05-30	Human	Malaysia	GII.2
KF039735	Hu/GI.1/CHA3A007/2008/USA	NA	2008-10-05	Human	USA	GI.1
KF429765	Hu/GI.1/8W/1968/USA	NA	1968-XX-XX	Human	USA	GI.1
JX846928	Hu/GII.4/NIHIC9/2011/USA	NA	2011-06-14	Human	USA	GII.4
KF429790	Hu/GII.4/NIHIC17.5/2012/USA	NA	2012-05-09	Human	USA	GII.4
